+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                   ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; x1|onchip_memory2_avsb|the_altsyncram|auto_generated|decode3                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|onchip_memory2_avsb|the_altsyncram|auto_generated                                                                                                                                    ; 53    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|onchip_memory2_avsb                                                                                                                                                                  ; 56    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_jtag_debug_module_wrapper|the_aula2910_qsys_nios2_qsys_avsb_jtag_debug_module_sysclk   ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_jtag_debug_module_wrapper|the_aula2910_qsys_nios2_qsys_avsb_jtag_debug_module_tck      ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_jtag_debug_module_wrapper                                                              ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_im                                                                           ; 97    ; 36             ; 93           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_pib                                                                          ; 39    ; 20             ; 38           ; 20             ; 19     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_fifo|the_aula2910_qsys_nios2_qsys_avsb_oci_test_bench                        ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_fifo|aula2910_qsys_nios2_qsys_avsb_nios2_oci_fifocount_inc_fifocount         ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_fifo|aula2910_qsys_nios2_qsys_avsb_nios2_oci_fifowp_inc_fifowp               ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_fifo|aula2910_qsys_nios2_qsys_avsb_nios2_oci_compute_tm_count_tm_count       ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_fifo                                                                         ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_dtrace|aula2910_qsys_nios2_qsys_avsb_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_dtrace                                                                       ; 103   ; 0              ; 92           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_itrace                                                                       ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_dbrk                                                                         ; 88    ; 0              ; 0            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_xbrk                                                                         ; 54    ; 5              ; 51           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_break                                                                        ; 52    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_avalon_reg                                                                       ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_ocimem|aula2910_qsys_nios2_qsys_avsb_ociram_sp_ram|the_altsyncram|auto_generated ; 46    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_ocimem|aula2910_qsys_nios2_qsys_avsb_ociram_sp_ram                               ; 46    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_ocimem                                                                           ; 91    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci_debug                                                                        ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_nios2_oci                                                                                                                          ; 157   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|aula2910_qsys_nios2_qsys_avsb_register_bank_b|the_altsyncram|auto_generated                                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|aula2910_qsys_nios2_qsys_avsb_register_bank_b                                                                                                                        ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|aula2910_qsys_nios2_qsys_avsb_register_bank_a|the_altsyncram|auto_generated                                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|aula2910_qsys_nios2_qsys_avsb_register_bank_a                                                                                                                        ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb|the_aula2910_qsys_nios2_qsys_avsb_test_bench                                                                                                                         ; 272   ; 3              ; 235          ; 3              ; 34     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1|nios2_qsys_avsb                                                                                                                                                                      ; 148   ; 2              ; 31           ; 2              ; 111    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; x1                                                                                                                                                                                      ; 14    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
